MA0896.2 Hmx1
MA0897.2 Hmx2
MA0898.2 Hmx3
MA1991.2 Hnf1A
MA0911.2 Hoxa11
MA0909.4 Hoxd13
MA1992.2 Ikzf3
MA0050.4 Irf1
MA1608.2 Isl1
MA0768.3 Lef1
MA1518.3 Lhx1
MA0135.2 Lhx3
MA0704.2 Lhx4
MA0705.2 Lhx8
MA0117.3 Mafb
MA0659.4 Mafg
MA0029.2 Mecom
MA0622.2 Mlxip
MA1524.3 Msgn1
MA0709.2 Msx3
MA1993.2 Neurod2
MA0668.3 Neurod2
MA0606.3 Nfat5
MA0624.3 Nfatc1
MA0152.3 Nfatc2
MA0150.3 Nfe2l2
MA1994.2 Nkx2-1
MA0124.3 Nkx3-1
MA0122.4 Nkx3-2
MA0125.2 Nobox
MA0626.2 Npas2
MA1995.2 Npas4
MA1996.2 Nr1H2
MA0494.2 Nr1h3::Rxra
MA1110.3 Nr1H4
MA0164.2 Nr2e3
MA0677.2 Nr2f6
MA1540.3 NR5A1
MA0505.3 Nr5A2
MA0506.3 Nrf1
MA1997.2 Olig2
MA0680.3 Pax7
MA1615.2 Plagl1
MA0065.3 Pparg::Rxra
MA1998.2 Prdm14
MA1616.2 Prdm15
MA1647.3 Prdm4
MA1999.2 Prdm5
MA1618.2 Ptf1A
MA1619.2 Ptf1A
MA1620.2 Ptf1A
MA0859.2 Rarg
MA1724.2 Rfx6
MA0629.2 Rhox11
MA0002.3 Runx1
MA0720.2 Shox2
MA0631.2 Six3
MA2001.2 Six4
MA1153.2 Smad4
MA0869.3 Sox11
MA0078.3 Sox17
MA0514.3 Sox3
MA0087.3 Sox5
MA0080.7 Spi1
MA1623.2 Stat2
MA0518.2 Stat4
MA1624.2 Stat5a
MA0519.2 Stat5a::Stat5b
MA1625.2 Stat5b
MA0520.2 Stat6
MA1567.3 Tbx6
MA0521.3 Tcf12
MA0832.2 Tcf21
MA0633.3 Twist2
MA0693.4 Vdr
MA1627.2 Wt1
MA0095.4 Yy1
MA2002.2 Zfp335
MA0146.3 Zfx
MA1628.2 Zic1::Zic2
MA1629.2 Zic2
MA0697.3 Zic3
MA0619.2 LIN54
MA0108.3 TBP
